title,media_condition,sleeve_condition,price,buy_url,seller_rating,seller_url
"Tatsuro Yamashita - On The Street Corner 1 - '86 Version (LP, Album)",Very Good Plus (VG+),Near Mint (NM or M-),43.99,https://www.discogs.com/sell/item/2013523463,99.8,https://www.discogs.com/seller/DeeperThanTheDeepest/profile
"Tats Yamashita* - On The Street Corner (LP, Album, Ltd, M/Print)",Very Good Plus (VG+),Very Good Plus (VG+),40.3,https://www.discogs.com/sell/item/1999590167,99.9,https://www.discogs.com/seller/RecordCityJP/profile
"Tats Yamashita* - On The Street Corner (LP, Album, Ltd, M/Print)",Near Mint (NM or M-),Very Good Plus (VG+),51.51,https://www.discogs.com/sell/item/1832807419,99.7,https://www.discogs.com/seller/estacio/profile
"Tats Yamashita* - On The Street Corner (LP, Album, Ltd, M/Print)",Near Mint (NM or M-),Very Good Plus (VG+),42.03,https://www.discogs.com/sell/item/1953523409,99.9,https://www.discogs.com/seller/RecordCityJP/profile
"Tats Yamashita* - On The Street Corner (LP, Album, Ltd, M/Print)",Very Good Plus (VG+),Very Good (VG),42.03,https://www.discogs.com/sell/item/1949704976,99.9,https://www.discogs.com/seller/RecordCityJP/profile
"Tats Yamashita* - On The Street Corner (LP, Album, Ltd, M/Print, Promo)",Near Mint (NM or M-),Very Good Plus (VG+),58.0,https://www.discogs.com/sell/item/1944381731,99.9,https://www.discogs.com/seller/ella_records/profile
"Tats Yamashita* - On The Street Corner (LP, Album, Ltd, Fix)",Near Mint (NM or M-),Near Mint (NM or M-),52.0,https://www.discogs.com/sell/item/1682476759,99.9,https://www.discogs.com/seller/ella_records/profile
"Tats Yamashita* - On The Street Corner (LP, Album, Ltd, M/Print)",Very Good Plus (VG+),Very Good Plus (VG+),42.03,https://www.discogs.com/sell/item/1944375101,99.9,https://www.discogs.com/seller/RecordCityJP/profile
"Tats Yamashita* - On The Street Corner (LP, Album, Ltd, M/Print)",Very Good Plus (VG+),Very Good Plus (VG+),42.03,https://www.discogs.com/sell/item/1931408993,99.9,https://www.discogs.com/seller/RecordCityJP/profile
"Tatsuro Yamashita - On The Street Corner 1 - '86 Version (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),35.99,https://www.discogs.com/sell/item/1924763567,99.4,https://www.discogs.com/seller/facerecords/profile
"Tatsuro Yamashita - On The Street Corner 1 - '86 Version (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),37.99,https://www.discogs.com/sell/item/1924763555,99.4,https://www.discogs.com/seller/facerecords/profile
